nbGenes = 40;
preference = [[0 90 46 57 70 60 8 48 18 38 95 24 25 76 28 47 71 68 95 89 24 4 90 84 80 4 98 18 67 26 18 82 75 11 86 44 59 21 78 80 ]
[99 0 86 86 24 92 83 2 23 96 63 66 57 52 40 33 58 14 11 46 49 14 87 52 73 75 91 68 64 45 93 49 63 49 80 34 7 31 50 87 ]
[16 47 0 2 18 19 84 45 39 11 68 86 88 22 78 84 49 39 24 75 16 61 86 61 70 86 0 81 93 11 64 40 48 94 46 27 31 39 81 75 ]
[6 85 30 0 56 16 90 51 52 98 40 45 0 40 60 68 73 54 77 87 84 1 38 39 34 31 69 57 36 64 53 89 96 57 10 69 31 65 96 43 ]
[7 64 64 89 0 89 3 44 3 83 86 7 9 8 30 92 41 35 21 59 12 47 91 12 39 9 9 43 29 27 89 13 0 69 21 64 93 28 28 88 ]
[18 97 66 10 87 0 30 77 18 62 92 57 53 50 55 69 70 32 82 18 22 43 38 0 69 57 43 41 52 23 93 81 72 46 57 47 93 6 48 5 ]
[26 90 72 23 73 55 0 88 95 65 38 69 42 21 27 86 20 37 17 35 59 87 1 68 86 64 76 10 21 35 4 97 6 64 29 53 76 75 55 85 ]
[17 74 71 10 77 21 82 0 64 14 40 58 6 61 75 19 39 85 49 12 70 1 5 48 58 43 74 69 97 96 16 36 70 7 72 68 75 34 21 8 ]
[8 42 9 55 58 30 41 57 0 33 86 21 21 48 46 94 60 19 66 67 63 16 71 27 40 49 1 9 55 29 68 61 37 27 78 98 35 11 50 95 ]
[66 74 34 60 94 6 24 19 60 0 17 45 72 94 87 90 93 83 78 97 34 68 84 59 70 87 49 58 65 48 10 65 86 69 27 90 26 43 2 16 ]
[27 34 21 44 42 90 76 80 90 64 0 61 51 3 35 63 89 81 80 76 34 28 37 69 23 27 76 80 30 38 66 87 55 52 60 83 80 36 18 29 ]
[74 38 27 57 97 68 59 80 26 43 66 0 97 67 35 41 88 86 14 16 44 36 76 56 58 6 45 51 49 7 12 57 67 45 27 27 56 27 47 84 ]
