nbGenes = 50;
preference = [[0 96 1 75 39 0 14 79 28 23 4 1 59 5 71 66 37 34 16 3 38 5 62 38 96 34 48 84 41 66 93 54 18 18 58 69 52 44 56 38 32 62 20 59 26 53 65 32 21 65 ]
[78 0 41 69 76 81 7 6 8 16 92 77 0 37 53 22 64 75 48 85 24 62 73 36 52 55 64 0 82 97 9 51 19 32 63 6 74 91 35 92 90 99 56 63 34 67 25 83 68 2 ]
[98 86 0 83 94 70 37 91 5 11 82 25 85 75 32 97 61 64 55 83 97 7 11 1 73 90 35 50 71 75 9 92 16 98 11 97 31 73 1 74 21 10 62 89 34 1 5 68 41 30 ]
[2 96 43 0 18 35 64 6 36 95 34 64 29 11 21 36 75 1 98 63 35 56 39 13 65 57 83 23 71 1 63 57 39 63 99 38 4 80 16 61 56 67 28 47 50 80 94 29 41 63 ]
[83 86 1 76 0 23 97 75 82 90 37 61 62 85 43 1 84 98 43 38 28 62 92 36 15 46 71 59 15 11 53 21 8 35 24 65 4 56 47 98 52 29 21 20 54 67 20 5 13 52 ]
[11 95 47 72 67 0 76 37 77 22 8 45 54 43 9 20 50 88 62 73 98 31 53 58 34 83 65 40 2 26 52 8 16 38 87 12 87 25 89 20 43 36 17 5 68 11 57 1 42 91 ]
[98 51 40 22 45 18 0 75 44 26 68 5 43 99 25 13 98 52 25 20 33 65 55 40 91 1 35 3 70 62 87 30 96 33 8 42 39 30 14 57 8 90 74 1 50 20 2 51 23 6 ]
[9 62 55 96 31 10 8 0 90 88 24 99 65 89 66 9 92 44 80 10 57 45 91 70 12 9 32 89 87 65 35 63 30 70 22 10 71 5 43 69 86 76 79 28 77 83 24 44 62 15 ]
[92 0 29 86 17 87 44 19 0 24 35 87 78 67 13 13 40 42 29 79 52 32 2 80 44 18 94 44 7 96 5 60 3 58 10 84 98 76 86 68 40 99 97 4 4 64 18 24 77 81 ]
[73 86 95 13 14 74 36 77 27 0 68 33 96 10 37 24 6 94 91 21 28 7 26 92 96 53 40 17 47 41 81 37 16 36 1 12 40 24 90 45 52 62 5 15 71 79 66 74 49 59 ]
[49 10 97 6 6 62 52 61 41 68 0 36 66 21 47 94 25 3 73 69 93 75 59 56 40 26 76 75 16 94 29 93 47 71 75 39 28 65 80 43 73 14 45 3 71 85 30 74 27 58 ]
[3 17 96 37 77 18 96 51 22 3 34 0 71 79 59 12 52 32 89 28 24 37 52 7 85 70 99 76 41 18 54 70 26 85 78 93 40 21 77 96 92 81 65 29 77 24 13 61 56 15 ]
[97 82 90 43 14 30 9 73 74 71 96 10 0 12 77 24 62 46 75 96 0 4 10 94 70 84 47 39 62 82 67 55 97 55 21 16 43 41 67 40 61 70 6 80 51 35 52 68 10 93 ]
[7 43 69 87 75 77 52 53 33 55 73 62 30 0 61 40 52 92 6 52 15 50 20 63 63 83 56 82 16 81 24 25 56 78 7 42 73 35 1 83 92 73 34 36 10 65 22 49 25 2 ]
[70 60 92 6 73 39 90 35 59 11 31 12 56 41 0 70 45 75 20 55 71 19 22 89 85 34 73 44 1 0 45 51 49 37 64 63 15 81 2 73 98 90 54 54 62 66 79 77 91 68 ]
[17 74 60 79 1 71 89 61 67 18 15 25 5 53 80 0 6 2 85 16 32 61 56 36 85 79 1 71 73 64 13 44 40 68 75 59 41 25 13 35 41 36 59 61 7 21 14 9 47 4 ]
[13 44 18 52 78 35 44 10 62 25 67 42 60 84 94 2 0 68 99 13 10 27 52 6 69 68 59 67 5 81 77 96 98 5 44 80 46 27 18 58 43 37 47 86 80 83 42 2 73 45 ]
[98 41 38 87 90 6 63 14 90 94 44 48 86 80 71 89 90 0 0 97 94 18 50 17 44 61 28 57 33 88 13 83 74 48 85 41 14 49 25 86 67 57 40 56 88 42 26 27 8 93 ]
[75 23 79 56 83 61 61 53 36 62 61 65 15 64 38 21 59 56 0 30 39 74 7 20 73 17 59 58 85 27 23 15 7 89 41 75 92 11 25 31 95 3 41 39 87 92 28 75 38 36 ]
[99 87 13 84 90 75 15 33 60 25 4 15 61 93 50 81 86 33 27 0 46 94 95 12 64 40 33 80 18 98 59 90 35 91 67 96 58 8 81 57 81 80 50 37 61 3 95 59 31 56 ]
[56 70 54 16 52 44 18 92 69 32 28 80 63 73 42 18 35 9 89 93 0 45 59 19 51 67 18 63 13 98 98 95 10 91 52 57 20 34 9 0 60 73 94 20 40 41 87 21 4 19 ]
[25 68 32 23 8 21 39 62 67 88 75 89 15 24 29 15 36 25 22 71 34 0 23 60 72 58 49 33 67 18 67 60 81 12 69 60 25 0 64 59 61 94 56 14 69 11 76 63 43 93 ]
[7 97 16 33 41 32 97 34 66 45 18 44 74 83 30 99 82 85 48 25 31 74 0 5 66 51 98 29 42 48 40 1 13 94 87 63 41 98 69 23 65 66 38 1 92 4 22 92 18 51 ]
[89 13 2 78 89 86 45 66 17 4 29 33 53 87 69 77 90 43 57 54 30 22 27 0 23 31 42 1 20 21 93 0 5 2 66 8 29 33 30 67 35 65 13 95 67 34 61 38 6 91 ]
[5 96 7 54 19 3 47 23 81 76 8 85 33 13 42 42 95 30 66 6 56 24 96 12 0 32 27 11 66 36 84 86 55 46 89 46 6 17 15 47 77 63 32 41 28 75 35 69 82 92 ]
[87 45 77 6 41 7 81 31 40 83 14 4 76 60 17 5 56 18 94 29 45 0 51 1 21 0 70 45 48 89 12 73 22 59 62 97 66 67 69 73 10 37 14 74 64 8 47 84 64 64 ]
[40 51 54 26 54 64 55 41 51 6 66 67 6 84 4 39 7 55 47 64 14 7 74 71 90 18 0 82 74 47 29 24 47 13 53 58 97 33 40 77 51 94 53 78 66 40 93 52 98 38 ]
[36 5 1 79 73 25 77 83 68 16 44 73 3 68 21 39 95 43 70 68 38 21 38 66 22 66 48 0 38 73 12 74 64 47 23 9 42 59 2 27 11 68 82 35 74 0 58 13 28 84 ]
[52 62 14 35 78 2 85 94 40 14 4 11 14 16 51 6 71 91 72 97 25 89 75 65 74 49 35 76 0 64 96 94 15 10 48 38 41 47 85 45 91 38 94 67 67 86 48 81 25 1 ]
[21 61 59 42 47 74 80 61 3 13 50 78 94 75 87 16 16 22 63 36 50 36 59 47 93 86 64 47 99 0 36 86 11 34 67 60 26 66 12 45 1 33 56 70 99 54 5 62 72 93 ]
[38 70 58 46 29 19 94 98 98 23 47 74 29 6 67 39 80 56 74 83 68 71 51 44 56 2 14 50 54 9 0 18 98 14 28 98 57 40 97 11 11 74 91 23 72 59 13 85 41 61 ]
[17 42 29 52 12 40 18 74 11 27 60 79 85 93 23 91 81 29 4 85 81 88 58 37 39 58 81 95 16 77 70 0 27 54 17 34 83 80 46 65 63 83 75 64 97 93 78 63 31 87 ]
[49 29 90 40 76 82 12 14 48 20 22 14 20 82 54 91 7 25 22 0 69 25 22 71 54 37 26 6 19 16 7 70 0 40 84 50 80 74 22 85 12 81 74 13 40 18 82 22 58 89 ]
[47 74 10 10 70 83 59 36 90 1 96 85 71 17 17 44 91 88 31 39 35 39 32 84 2 95 0 0 0 43 61 81 1 0 40 57 5 68 23 65 95 88 97 44 79 55 77 12 23 11 ]
[19 88 18 14 32 4 81 61 36 76 24 51 85 89 51 24 83 75 57 47 68 78 27 83 73 58 34 41 48 79 71 77 92 33 0 5 97 83 37 2 6 37 46 35 50 42 87 17 54 21 ]
[87 91 37 8 75 88 11 60 56 41 46 78 68 82 38 13 93 62 97 74 33 66 26 92 49 91 51 90 66 93 70 82 34 5 59 0 7 88 60 92 28 18 85 71 57 37 75 69 93 62 ]
[43 6 47 71 25 98 37 70 84 34 46 61 37 14 60 69 37 6 33 11 44 98 30 77 72 10 24 34 89 85 2 92 81 51 23 25 0 90 35 27 38 8 13 38 44 69 98 33 38 92 ]
[42 47 90 5 32 92 55 29 92 21 1 33 56 84 47 10 1 0 95 84 92 33 96 99 13 5 10 8 74 63 42 78 79 27 39 34 98 0 78 3 37 39 56 21 42 24 38 9 29 98 ]
[55 55 81 75 21 46 13 64 25 91 98 26 68 57 80 93 63 42 35 68 48 11 52 29 64 44 71 35 68 53 99 68 79 41 59 61 42 20 0 18 83 60 53 42 20 86 31 1 23 70 ]
[90 22 87 61 0 45 97 75 63 61 95 29 48 42 15 34 53 82 2 81 56 98 65 68 92 29 50 56 54 77 44 8 84 68 92 5 51 53 8 0 37 3 89 37 28 63 7 70 50 63 ]
[99 39 57 41 34 54 45 42 24 1 37 34 26 96 2 19 15 27 10 49 88 4 24 4 59 29 17 12 97 68 33 33 50 27 81 50 27 17 97 1 0 64 53 58 14 50 24 44 53 19 ]
[42 10 92 11 7 21 64 74 88 21 24 41 71 18 65 39 63 21 15 56 29 88 77 92 58 93 94 76 85 68 21 82 52 75 84 83 51 51 68 32 49 0 11 50 6 70 38 37 28 24 ]
[95 28 9 89 52 94 49 15 80 41 39 87 90 97 68 32 83 57 17 29 44 38 38 8 38 85 70 86 94 17 53 40 35 72 53 2 56 55 23 25 99 45 0 60 31 90 40 6 80 8 ]
[49 74 71 87 89 1 50 17 83 79 35 55 31 17 45 42 61 16 60 80 90 40 35 89 55 86 47 46 35 57 32 16 14 20 88 10 45 69 47 0 14 31 91 0 75 54 74 66 15 59 ]
[27 48 61 66 77 18 88 35 75 27 80 77 54 64 5 65 90 25 81 76 5 68 57 44 36 59 85 31 53 72 96 84 4 38 87 42 3 19 25 59 82 48 25 64 0 17 58 8 70 4 ]
[75 37 35 23 32 43 91 23 75 26 76 82 61 44 37 79 76 96 35 9 99 74 61 97 13 33 11 68 15 70 67 42 6 5 83 95 53 16 67 40 27 14 80 53 55 0 35 12 88 65 ]
[94 8 5 46 95 33 76 55 37 19 72 85 12 34 66 88 67 18 54 30 77 1 25 66 17 29 33 63 12 5 98 65 99 60 92 36 52 56 78 8 10 87 5 35 34 34 0 8 5 95 ]
[86 65 42 43 46 47 22 13 34 37 71 63 70 0 32 99 44 14 23 89 87 28 83 33 81 10 67 69 27 30 73 25 54 94 13 49 63 59 75 33 33 32 55 45 63 6 99 0 22 98 ]
[87 65 90 1 88 37 28 49 0 66 79 82 29 90 27 97 73 3 44 57 96 78 95 98 67 2 0 0 97 44 56 68 65 75 11 86 78 12 0 74 26 41 17 65 60 17 10 77 0 56 ]
[4 56 96 1 67 35 95 72 10 0 39 15 5 41 53 62 34 68 81 98 11 2 87 0 53 0 42 72 19 46 23 63 78 24 80 32 13 51 87 73 67 52 80 79 37 71 56 48 5 0 ]
];
