nbGenes = 30;
preference = [[0 11 74 96 3 11 36 84 34 2 64 34 30 38 87 48 70 12 36 64 59 46 10 49 36 57 86 46 14 52 ]
[8 0 76 45 96 60 67 28 20 96 17 61 57 96 1 72 76 88 36 5 49 83 67 71 73 59 8 38 45 10 ]
[39 48 0 24 78 67 3 59 71 52 95 10 14 57 19 42 98 70 56 90 39 11 0 83 82 95 58 12 69 68 ]
[51 7 13 0 41 36 65 27 80 24 82 12 84 38 65 8 57 24 41 87 29 29 52 68 69 30 58 2 6 75 ]
[59 31 77 9 0 68 29 42 44 90 72 67 51 48 81 41 67 24 91 8 77 95 81 48 81 52 60 88 4 84 ]
[69 16 5 58 19 0 14 79 86 6 4 63 92 41 64 64 44 12 66 75 90 57 54 9 95 57 81 52 2 18 ]
[11 55 14 64 22 81 0 54 93 96 33 6 20 79 96 37 80 79 4 81 85 65 14 57 65 24 61 89 65 57 ]
[2 96 38 7 86 60 94 0 66 23 16 92 10 55 97 31 92 96 87 88 40 85 57 96 51 21 29 86 22 81 ]
[87 15 30 77 55 65 78 33 0 10 61 97 75 32 99 77 69 9 38 30 68 18 10 23 27 15 51 19 28 68 ]
[52 36 58 85 32 91 57 62 51 0 87 80 8 60 23 70 5 56 32 40 65 43 71 83 30 55 17 84 54 3 ]
[42 52 61 99 69 70 14 90 71 86 0 26 78 65 18 94 50 81 72 8 67 87 20 14 26 1 21 88 29 27 ]
[2 29 26 6 8 14 99 37 50 42 33 0 34 87 93 66 28 74 38 29 34 23 92 76 42 40 34 59 42 49 ]
[76 49 1 65 99 81 75 45 44 21 91 11 0 86 4 89 5 35 8 55 80 2 38 78 21 80 12 32 19 87 ]
[29 82 82 74 80 68 84 88 3 83 97 32 28 0 43 75 73 11 71 9 96 81 76 19 68 64 80 33 77 24 ]
[65 6 88 46 78 90 31 4 87 87 38 40 24 33 0 10 71 61 60 44 42 32 16 29 67 59 78 22 48 13 ]
[87 19 1 73 14 81 29 4 44 41 77 72 71 35 92 0 13 3 67 20 50 81 72 82 23 29 74 11 53 44 ]
[78 75 6 14 84 61 90 86 34 21 58 6 0 40 87 59 0 56 28 68 14 0 4 37 45 55 70 62 57 58 ]
[57 13 15 90 28 19 66 65 4 80 99 68 37 28 13 23 24 0 43 1 26 74 83 94 84 15 41 83 38 55 ]
[37 53 67 80 63 98 30 69 29 21 72 16 47 27 11 98 25 46 0 25 46 23 82 49 9 66 18 94 33 73 ]
[67 73 48 80 33 73 40 37 62 45 83 87 78 97 69 70 9 66 83 0 66 81 87 92 94 79 11 77 36 85 ]
[30 18 45 21 44 99 98 80 45 26 50 69 33 79 89 11 16 26 21 88 0 30 94 18 82 73 10 32 2 19 ]
[18 60 92 34 28 51 58 94 72 46 91 57 76 34 17 23 93 43 62 89 77 0 56 46 9 58 28 59 22 96 ]
[49 47 75 74 60 20 52 17 89 64 4 58 59 26 9 60 90 88 89 34 69 15 0 51 60 20 63 51 77 80 ]
[67 65 55 86 41 80 32 20 16 10 61 81 34 89 52 63 43 39 73 92 85 96 67 0 30 37 93 16 66 74 ]
[14 30 10 76 42 30 58 99 54 19 87 33 91 98 23 94 5 88 71 49 5 26 0 50 0 33 68 2 31 69 ]
[72 66 46 77 97 33 27 36 0 38 50 57 8 13 2 69 83 41 53 5 15 78 81 12 79 0 43 93 52 5 ]
[55 53 69 85 16 24 33 81 30 39 18 57 28 64 54 25 84 19 83 20 99 27 40 95 41 68 0 40 56 47 ]
[38 70 53 36 98 46 75 64 60 21 28 39 58 88 26 33 54 4 1 53 17 95 79 13 36 10 64 0 42 13 ]
[70 23 71 5 30 58 60 78 7 73 17 66 48 30 15 15 88 74 75 31 92 79 37 61 28 6 62 25 0 6 ]
[65 12 82 77 68 60 64 62 79 26 13 49 47 78 97 44 1 66 46 95 26 29 70 35 65 57 87 43 1 0 ]
];
