nbGenes = 20;
preference = [[0 60 98 96 47 10 37 57 79 18 29 61 0 68 15 89 74 75 39 41 ]
[67 0 50 68 39 17 76 54 78 45 27 7 75 63 25 23 4 6 59 47 ]
[92 82 0 39 78 18 36 22 37 29 52 94 25 8 50 88 22 15 89 0 ]
[42 66 90 0 4 45 1 8 95 88 62 76 30 24 93 5 9 45 65 92 ]
[74 77 41 66 0 34 80 22 62 89 29 28 45 5 28 20 82 63 82 55 ]
[67 22 34 17 27 0 87 59 86 48 18 53 91 79 86 62 14 32 65 11 ]
[84 24 5 30 85 61 0 29 6 90 91 3 19 89 49 54 41 7 90 26 ]
[88 88 48 16 55 64 90 0 30 56 27 41 5 63 39 35 69 6 5 70 ]
[19 18 90 75 18 65 90 0 0 14 59 50 90 22 18 92 98 17 75 32 ]
[28 17 1 17 70 59 92 90 25 0 37 66 92 5 73 49 33 50 50 95 ]
[50 17 56 51 74 75 79 78 83 17 0 31 59 86 62 78 14 78 6 54 ]
[44 92 12 56 90 12 16 71 19 21 4 0 40 59 80 42 48 86 31 82 ]
[68 73 31 7 70 44 18 30 71 50 94 28 0 92 37 1 25 98 64 21 ]
[89 91 86 68 12 3 87 38 75 70 59 1 74 0 91 32 53 50 29 42 ]
[65 60 81 48 75 59 91 73 91 18 49 48 20 39 0 66 73 61 89 10 ]
[45 93 15 64 85 42 72 62 27 66 78 83 79 10 34 0 23 73 69 18 ]
[0 76 3 62 74 94 38 45 48 82 65 68 81 98 90 73 0 74 70 87 ]
[3 62 16 48 68 64 49 11 55 46 89 77 48 2 38 18 43 0 76 93 ]
[86 37 65 51 21 11 89 19 87 94 34 65 81 17 94 58 8 23 0 82 ]
[80 25 17 51 58 99 95 63 37 37 86 59 79 11 69 81 91 60 53 0 ]
];
