nbGenes = 30;
preference = [[0 32 74 54 75 35 76 64 67 91 57 25 30 74 15 90 0 9 89 82 46 85 91 22 32 34 57 21 49 58 ]
[68 0 97 26 75 78 82 5 22 9 68 50 96 76 53 35 63 27 19 73 98 39 49 73 72 86 17 1 48 99 ]
[26 3 0 82 5 55 94 51 19 46 46 33 96 24 93 48 84 53 33 40 73 95 4 41 25 20 89 15 68 24 ]
[46 74 18 0 45 76 70 75 24 14 98 35 75 82 82 37 87 57 88 17 81 4 56 17 0 86 77 90 29 74 ]
[25 25 95 55 0 48 44 78 96 73 77 19 74 31 19 64 31 61 25 10 70 31 34 97 38 39 52 38 72 53 ]
[65 22 45 24 52 0 52 75 42 43 39 45 56 11 92 87 93 98 83 47 2 26 99 49 23 39 85 83 74 79 ]
[24 18 6 30 56 48 0 9 67 14 86 23 97 57 77 47 7 52 83 48 61 27 62 35 25 83 26 22 4 11 ]
[36 95 49 25 22 25 91 0 45 19 32 15 59 3 32 56 24 92 18 94 80 90 29 6 28 57 48 54 70 36 ]
[33 78 81 76 4 58 33 55 0 0 72 16 42 93 8 67 99 10 41 22 19 88 93 19 2 89 27 43 25 86 ]
[9 91 54 86 27 57 86 81 100 0 5 73 74 15 81 48 90 36 61 23 70 73 13 90 44 27 75 15 35 62 ]
[43 32 54 2 23 61 14 68 28 95 0 11 8 90 54 77 5 19 41 50 94 69 43 67 5 80 33 75 30 49 ]
[75 50 67 65 81 55 77 85 84 27 89 0 17 29 11 59 96 83 96 48 35 37 81 37 47 22 70 38 63 27 ]
[70 4 4 25 26 44 3 41 58 26 92 83 0 42 68 4 4 21 67 98 68 72 23 0 76 46 66 59 23 29 ]
[26 24 76 18 69 89 43 97 7 85 10 71 58 0 45 84 80 41 75 78 30 86 23 36 31 21 20 52 89 78 ]
[85 47 7 18 81 8 23 68 92 19 46 89 32 55 0 15 86 2 6 1 94 85 80 18 52 66 68 88 94 27 ]
[10 65 52 63 36 13 53 44 33 52 23 41 96 16 85 0 8 74 33 52 3 65 7 75 29 51 81 7 37 50 ]
[100 37 16 13 69 7 93 76 1 10 95 4 96 20 14 92 0 2 50 72 66 55 24 34 71 34 8 28 52 21 ]
[91 73 47 43 39 2 48 8 90 64 81 17 79 59 98 26 98 0 59 1 14 0 59 13 5 93 42 84 20 76 ]
[11 81 67 12 75 17 17 82 59 39 59 4 33 25 94 67 50 41 0 91 26 36 21 77 37 60 80 98 44 38 ]
[18 27 60 83 90 53 52 6 78 77 50 52 2 22 99 48 28 99 9 0 84 50 77 53 83 74 90 75 84 12 ]
[54 2 27 19 30 98 39 20 81 30 6 65 32 70 6 97 34 86 74 16 0 5 17 24 43 38 70 8 4 52 ]
[15 61 5 96 69 74 73 10 12 27 31 63 28 14 15 35 45 100 64 50 95 0 87 53 10 48 84 24 92 51 ]
[9 51 96 44 66 1 38 71 7 87 57 19 77 77 20 93 76 41 79 23 83 13 0 31 96 91 48 82 58 86 ]
[78 27 59 83 3 51 65 94 81 10 33 63 100 64 82 25 66 87 23 47 76 47 69 0 16 27 1 69 24 95 ]
[68 28 75 100 62 77 75 72 98 56 95 53 24 69 48 71 29 95 63 17 57 90 4 84 0 77 19 78 30 58 ]
[66 14 80 14 61 61 17 43 11 73 20 78 54 79 34 49 66 7 40 26 62 52 9 73 23 0 46 49 84 14 ]
[43 83 11 23 48 15 74 52 73 25 67 30 34 80 32 19 92 58 20 10 30 16 52 99 81 54 0 0 22 37 ]
[79 99 85 10 62 17 78 46 57 85 25 62 41 48 12 93 72 16 2 25 92 76 18 31 22 51 100 0 18 87 ]
[51 52 32 71 28 26 96 30 75 65 70 37 77 11 6 63 48 80 56 16 96 8 42 76 70 16 78 82 0 81 ]
[42 1 76 26 47 21 89 64 14 38 51 73 71 22 73 50 79 24 62 88 48 49 14 5 42 86 63 13 19 0 ]
];
