nbGenes = 20;
preference = [[0 7 60 23 11 90 9 38 69 34 36 53 68 61 75 56 63 83 42 35 ]
[93 0 94 35 47 50 27 41 94 38 6 78 19 94 3 28 15 30 61 42 ]
[40 6 0 53 94 26 21 18 18 89 91 36 87 91 66 12 79 11 36 11 ]
[77 65 47 0 91 10 39 20 47 86 15 8 35 19 74 14 29 89 58 73 ]
[89 53 6 9 0 14 54 7 79 86 92 62 9 29 98 37 7 19 25 22 ]
[10 50 74 90 86 0 74 24 80 52 13 85 75 33 19 28 66 1 14 0 ]
[91 73 79 61 46 26 0 44 21 75 79 66 18 85 92 13 20 81 56 21 ]
[62 59 82 80 93 76 56 0 36 57 94 5 16 41 80 46 50 60 65 21 ]
[31 6 82 53 21 20 79 64 0 61 35 74 45 52 85 12 5 33 20 42 ]
[66 62 11 14 14 48 25 43 39 0 97 17 51 63 85 85 3 54 58 80 ]
[64 94 9 85 8 87 21 6 65 3 0 26 39 0 98 12 43 40 35 89 ]
[47 22 64 92 38 15 34 95 26 83 74 0 69 27 25 32 65 40 78 47 ]
[32 81 13 65 91 25 82 84 55 49 61 31 0 14 51 98 53 54 1 66 ]
[39 6 9 81 71 67 15 59 48 37 100 73 86 0 58 1 70 19 77 47 ]
[25 97 34 26 2 81 8 20 15 15 2 75 49 42 0 11 17 25 21 80 ]
[44 72 88 86 63 72 87 54 88 15 88 68 2 99 89 0 81 17 39 42 ]
[37 85 21 71 93 34 80 50 95 97 57 35 47 30 83 19 0 47 6 90 ]
[17 70 89 11 81 99 19 40 67 46 60 60 46 81 75 83 53 0 95 89 ]
[58 39 64 42 75 86 44 35 80 42 65 22 99 23 79 61 94 5 0 22 ]
[65 58 89 27 78 100 79 79 58 20 11 53 34 53 20 58 10 11 78 0 ]
];
