nbGenes = 20;
preference = [[0 3 39 2 34 60 44 30 16 7 51 70 95 91 41 93 67 44 21 22 ]
[97 0 46 59 85 86 4 63 20 16 74 36 29 0 37 7 20 39 29 28 ]
[61 54 0 1 89 27 6 55 53 37 66 42 81 24 95 45 37 2 80 30 ]
[98 41 99 0 91 92 26 29 5 45 49 77 39 93 27 38 93 94 11 3 ]
[66 15 11 9 0 75 77 86 74 69 38 28 3 65 69 52 28 96 82 11 ]
[40 14 73 8 25 0 32 22 90 54 7 83 75 91 40 77 34 11 75 74 ]
[56 96 94 74 23 68 0 91 60 51 56 45 4 86 78 36 24 91 79 25 ]
[70 37 45 71 14 78 9 0 34 79 28 63 34 33 80 14 71 19 43 68 ]
[84 80 47 95 26 10 40 66 0 38 96 17 40 64 26 67 36 37 92 64 ]
[93 84 63 55 31 46 49 21 62 0 54 36 53 3 68 39 16 19 22 91 ]
[49 26 34 51 62 93 44 72 4 46 0 49 31 4 4 64 29 47 9 83 ]
[30 64 58 23 72 17 55 37 83 64 51 0 93 45 13 1 65 45 57 97 ]
[5 71 19 61 97 25 96 66 60 47 69 7 0 66 33 11 20 10 38 80 ]
[9 100 76 7 35 9 14 67 36 97 96 55 34 0 4 71 30 54 31 5 ]
[59 63 5 73 31 60 22 20 74 32 96 87 67 96 0 16 85 20 10 29 ]
[7 93 55 62 48 23 64 86 33 61 36 99 89 29 84 0 16 16 34 43 ]
[33 80 63 7 72 66 76 29 64 84 71 35 80 70 15 84 0 62 29 40 ]
[56 61 98 6 4 89 9 81 63 81 53 55 90 46 80 84 38 0 6 41 ]
[79 71 20 89 18 25 21 57 8 78 91 43 62 69 90 66 71 94 0 23 ]
[78 72 70 97 89 26 75 32 36 9 17 3 20 95 71 57 60 59 77 0 ]
];
