nbGenes = 40;
preference = [[0 11 11 10 14 13 10 12 6 12 11 12 10 10 9 10 9 12 11 11 8 9 11 14 11 11 11 14 10 12 8 13 11 9 12 9 14 11 15 11 ]
[9 0 7 7 11 11 7 12 6 10 8 11 8 9 7 8 5 8 10 10 8 8 8 11 6 8 10 13 13 10 5 12 7 7 9 8 8 6 10 8 ]
[9 13 0 10 13 13 11 14 10 13 13 13 11 10 9 15 10 13 10 12 10 11 11 14 13 11 14 15 14 16 8 14 11 9 13 11 12 11 12 12 ]
[10 13 10 0 12 12 9 12 7 9 12 14 10 7 9 11 10 12 10 11 10 9 12 13 9 9 12 14 10 13 6 13 11 11 14 11 12 8 11 10 ]
[6 9 7 8 0 9 6 9 5 10 11 10 9 6 11 10 7 11 8 10 10 10 9 11 8 8 10 13 9 9 7 11 9 9 11 7 10 10 10 6 ]
[7 9 7 8 11 0 6 11 6 8 8 10 8 8 9 8 10 10 7 6 8 9 9 11 8 5 10 13 11 12 8 9 8 9 11 6 8 7 9 9 ]
[10 13 9 11 14 14 0 12 6 11 13 13 11 10 11 13 11 10 12 11 10 13 11 12 11 7 12 15 14 15 8 17 15 11 14 9 13 11 12 13 ]
[8 8 6 8 11 9 8 0 5 8 8 11 8 7 8 9 10 9 8 9 8 9 6 10 10 6 9 10 7 10 7 10 8 8 10 10 9 7 12 9 ]
[14 14 10 13 15 14 14 15 0 11 10 16 12 13 12 11 12 10 12 11 12 12 15 12 12 8 11 16 14 13 10 14 12 13 15 7 11 14 15 12 ]
[8 10 7 11 10 12 9 12 9 0 9 11 8 11 8 11 7 7 10 8 8 8 10 10 9 8 9 9 10 14 7 11 7 10 11 7 10 9 12 11 ]
[9 12 7 8 9 12 7 12 10 11 0 12 10 8 9 10 9 10 9 10 8 10 11 12 9 9 11 15 13 13 7 13 6 11 9 7 9 9 12 9 ]
[8 9 7 6 10 10 7 9 4 9 8 0 6 6 6 8 8 8 11 9 8 8 9 8 9 7 7 13 8 7 5 12 10 4 11 7 9 8 9 9 ]
[10 12 9 10 11 12 9 12 8 12 10 14 0 9 8 12 8 8 9 10 9 13 12 12 10 7 10 13 11 12 8 10 10 8 9 9 12 9 10 9 ]
[10 11 10 13 14 12 10 13 7 9 12 14 11 0 9 12 8 10 10 12 10 10 9 11 10 10 11 13 13 15 6 12 10 9 13 9 11 8 11 13 ]
[11 13 11 11 9 11 9 12 8 12 11 14 12 11 0 13 9 12 12 12 10 11 13 12 12 7 12 15 15 14 9 13 12 10 13 10 10 11 13 8 ]
[10 12 5 9 10 12 7 11 9 9 10 12 8 8 7 0 9 8 8 8 9 9 10 10 10 7 11 12 12 12 7 12 10 8 12 7 7 8 12 10 ]
[11 15 10 10 13 10 9 10 8 13 11 12 12 12 11 11 0 10 10 11 10 11 12 13 12 9 13 14 11 14 12 13 13 8 11 12 12 13 12 12 ]
[8 12 7 8 9 10 10 11 10 13 10 12 12 10 8 12 10 0 7 11 10 10 11 11 9 11 13 11 13 12 8 13 9 9 11 9 9 11 10 10 ]
[9 10 10 10 12 13 8 12 8 10 11 9 11 10 8 12 10 13 0 8 11 8 10 11 9 6 11 13 11 12 8 13 11 9 13 10 9 11 13 10 ]
[9 10 8 9 10 14 9 11 9 12 10 11 10 8 8 12 9 9 12 0 9 12 10 10 11 9 8 12 10 11 8 15 11 7 9 9 12 8 13 11 ]
[12 12 10 10 10 12 10 12 8 12 12 12 11 10 10 11 10 10 9 11 0 9 10 11 11 8 12 13 14 12 10 15 12 9 12 11 12 11 11 9 ]
[11 12 9 11 10 11 7 11 8 12 10 12 7 10 9 11 9 10 12 8 11 0 12 10 10 8 10 13 12 11 8 15 11 10 12 8 10 11 10 11 ]
[9 12 9 8 11 11 9 14 5 10 9 11 8 11 7 10 8 9 10 10 10 8 0 12 11 10 11 15 12 10 9 12 12 8 13 8 11 9 10 9 ]
[6 9 6 7 9 9 8 10 8 10 8 12 8 9 8 10 7 9 9 10 9 10 8 0 7 9 8 12 11 10 8 11 6 8 11 7 7 8 11 11 ]
[9 14 7 11 12 12 9 10 8 11 11 11 10 10 8 10 8 11 11 9 9 10 9 13 0 8 10 13 12 12 8 11 10 7 12 7 8 9 12 12 ]
